harvest_year,plot,fertilizer_code,fym_factor_level,fym_date,n_factor_level,spring1_n_kg,spring1_n_date,spring2_n_kg,spring2_n_date,spring3_n_kg,spring3_n_date,total_fertilizer_n_amount,p_factor_level,p_date,k_factor_level,k_date,mg_factor_level,mg_date,sow_date,harvest_date,cultivar,area_ha,grain_yield,straw_yield,grain_%_n,straw_%_n,grain_kgN,straw_kgN,note
2014,8,N3(P)KMg,nil,*,N3,144.000,2014-04-03,*,*,*,*,144,(P),*,K,2013-09-30,Mg,2013-09-30,2013-10-18,2014-08-20,Crusoe,0.006,5.910,3.270,1.732,0.373,87.007,10.368,*
2015,8,N3(P)KMg,nil,*,N3,144.000,2015-04-17,*,*,*,*,144,(P),*,K,2014-10-02,Mg,2014-10-02,2015-03-09,2015-09-26,Mulika,0.006,6.050,3.330,1.955,0.406,100.536,11.492,3
2001,9,N4(P)KMg,nil,*,N4,192.000,2001-05-04,*,*,*,*,192,(P),*,K,2000-10-04,Mg,2000-10-04,2001-01-16,2001-08-23,Hereward,0.007,4.890,2.850,2.437,0.635,101.294,15.383,*
2002,9,N4(P)KMg,nil,*,N4,192.000,2002-04-24,*,*,*,*,192,(P),*,K,2001-09-12,Mg,2001-09-12,2001-09-28,2002-08-14,Hereward,0.006,5.730,2.310,1.980,0.580,96.436,11.388,*
2003,9,N4(P)KMg,nil,*,N4,192.000,2003-04-15,*,*,*,*,192,(P),*,K,2002-10-01,Mg,2002-10-01,2002-10-04,2003-08-05,Hereward,0.006,6.720,2.800,2.480,0.530,141.658,12.614,*
2004,9,N4(P)KMg,nil,*,N4,192.000,2004-05-07,*,*,*,*,192,(P),*,K,2003-09-23,Mg,2003-09-23,2003-09-30,2004-09-02,Hereward,0.006,5.780,2.020,2.600,0.540,127.738,9.272,*
2005,9,N4(P)KMg,nil,*,N4,192.000,2005-04-14,*,*,*,*,192,(P),*,K,2004-10-13,Mg,2004-10-13,2004-11-05,2005-08-10,Hereward,0.006,7.100,2.570,2.090,0.540,126.131,11.796,*
2006,9,N4(P)KMg,nil,*,N4,192.000,2006-04-20,*,*,*,*,192,(P),*,K,2005-09-28,Mg,2005-09-28,2005-10-11,2006-08-23,Hereward,0.006,7.310,3.430,2.160,0.500,134.212,14.578,*
2007,9,N4(P)KMg,nil,*,N4,192.000,2007-04-24,*,*,*,*,192,(P),*,K,2006-10-09,Mg,2006-10-09,2006-11-01,2007-08-26,Hereward,0.006,4.930,1.620,2.310,0.690,96.801,9.501,*
2008,9,N4(P)KMg,nil,*,N4,192.000,2008-04-17,*,*,*,*,192,(P),*,K,2007-10-01,Mg,2007-10-01,2007-10-15,2008-08-26,Hereward,0.006,7.730,3.880,2.141,0.528,140.674,17.413,*
2009,9,N4(P)KMg,nil,*,N4,192.000,2009-04-21,*,*,*,*,192,(P),*,K,2008-09-29,Mg,2008-09-29,2008-10-17,2009-08-14,Hereward,0.006,3.860,1.790,2.794,0.558,91.671,8.490,*
2010,9,N4(P)KMg,nil,*,N4,192.000,2010-04-20,*,*,*,*,192,(P),*,K,2009-09-14,Mg,2009-09-14,2009-10-13,2010-08-31,Hereward,0.006,6.470,2.820,2.346,0.468,129.018,11.218,*
2011,9,N4(P)KMg,nil,*,N4,192.000,2011-04-13,*,*,*,*,192,(P),*,K,2010-10-07,Mg,2010-10-07,2010-10-19,2011-08-15,Hereward,0.006,4.830,1.740,2.907,0.663,119.347,9.806,*
2012,9,N4(P)KMg,nil,*,N4,192.000,2012-04-17,*,*,*,*,192,(P),*,K,2011-09-27,Mg,2011-09-27,2011-10-11,2012-08-20,Hereward,0.006,6.360,3.520,2.046,0.665,110.607,19.897,*
2013,9,N4(P)KMg,nil,*,N4,192.000,2013-04-24,*,*,*,*,192,(P),*,K,2012-09-28,Mg,2012-09-28,2013-02-22,2013-08-29,Crusoe,0.006,6.080,2.540,2.206,0.533,114.006,11.507,*
2014,9,N4(P)KMg,nil,*,N4,192.000,2014-04-03,*,*,*,*,192,(P),*,K,2013-09-30,Mg,2013-09-30,2013-10-18,2014-08-20,Crusoe,0.006,7.510,4.270,2.000,0.419,127.670,15.208,*
2015,9,N4(P)KMg,nil,*,N4,192.000,2015-04-17,*,*,*,*,192,(P),*,K,2014-10-02,Mg,2014-10-02,2015-03-09,2015-09-26,Mulika,0.006,6.340,3.530,2.249,0.560,121.199,16.803,3
2001,10,N4,nil,*,N4,192.000,2001-05-04,*,*,*,*,192,nil,*,nil,*,nil,*,2001-01-16,2001-08-23,Hereward,0.007,1.490,0.940,2.498,0.660,31.637,5.273,*
2002,10,N4,nil,*,N4,192.000,2002-04-24,*,*,*,*,192,nil,*,nil,*,nil,*,2001-09-28,2002-08-14,Hereward,0.006,0.660,0.450,2.230,0.830,12.510,3.175,*
2003,10,N4,nil,*,N4,192.000,2003-04-15,*,*,*,*,192,nil,*,nil,*,nil,*,2002-10-04,2003-08-05,Hereward,0.006,2.700,1.370,2.170,0.460,49.802,5.357,*
2004,10,N4,nil,*,N4,192.000,2004-05-07,*,*,*,*,192,nil,*,nil,*,nil,*,2003-09-30,2004-09-02,Hereward,0.006,2.260,1.140,2.240,0.470,43.030,4.554,*
2005,10,N4,nil,*,N4,192.000,2005-04-14,*,*,*,*,192,nil,*,nil,*,nil,*,2004-11-05,2005-08-10,Hereward,0.006,3.050,0.690,2.160,0.470,55.998,2.757,*
2006,10,N4,nil,*,N4,192.000,2006-04-20,*,*,*,*,192,nil,*,nil,*,nil,*,2005-10-11,2006-08-23,Hereward,0.006,3.040,1.220,2.230,0.470,57.623,4.874,*
2007,10,N4,nil,*,N4,192.000,2007-04-24,*,*,*,*,192,nil,*,nil,*,nil,*,2006-11-01,2007-08-26,Hereward,0.006,1.110,0.300,2.460,0.660,23.210,1.683,*
2008,10,N4,nil,*,N4,192.000,2008-04-17,*,*,*,*,192,nil,*,nil,*,nil,*,2007-10-15,2008-08-26,Hereward,0.006,2.660,1.200,2.010,0.431,45.446,4.396,*
2009,10,N4,nil,*,N4,192.000,2009-04-21,*,*,*,*,192,nil,*,nil,*,nil,*,2008-10-17,2009-08-14,Hereward,0.006,1.060,0.620,2.303,0.505,20.750,2.661,*
2010,10,N4,nil,*,N4,192.000,2010-04-20,*,*,*,*,192,nil,*,nil,*,nil,*,2009-10-13,2010-08-31,Hereward,0.006,1.670,0.890,2.441,0.449,34.650,3.397,*
2011,10,N4,nil,*,N4,192.000,2011-04-13,*,*,*,*,192,nil,*,nil,*,nil,*,2010-10-19,2011-08-15,Hereward,0.006,1.700,0.730,2.390,0.609,34.535,3.779,*
2012,10,N4,nil,*,N4,192.000,2012-04-17,*,*,*,*,192,nil,*,nil,*,nil,*,2011-10-11,2012-08-20,Hereward,0.006,1.480,0.750,2.235,0.597,28.116,3.806,*
2013,10,N4,nil,*,N4,192.000,2013-04-24,*,*,*,*,192,nil,*,nil,*,nil,*,2013-02-22,2013-08-29,Crusoe,0.006,2.880,0.580,2.283,0.449,55.888,2.214,*
2014,10,N4,nil,*,N4,192.000,2014-04-03,*,*,*,*,192,nil,*,nil,*,nil,*,2013-10-18,2014-08-20,Crusoe,0.006,2.340,1.630,2.193,0.603,43.619,8.355,*
2015,10,N4,nil,*,N4,192.000,2015-04-17,*,*,*,*,192,nil,*,nil,*,nil,*,2015-03-09,2015-09-26,Mulika,0.006,4.110,1.380,2.537,0.477,88.630,5.595,3
2001,11,N4PMg,nil,*,N4,192.000,2001-05-04,*,*,*,*,192,P,2000-10-04,nil,*,Mg,2000-10-04,2001-01-16,2001-08-23,Hereward,0.007,1.960,1.390,2.149,0.879,35.802,10.385,*
2002,11,N4PMg,nil,*,N4,192.000,2002-04-24,*,*,*,*,192,P,2001-09-12,nil,*,Mg,2001-09-12,2001-09-28,2002-08-14,Hereward,0.006,4.450,1.900,1.920,0.700,72.624,11.305,*
2003,11,N4PMg,nil,*,N4,192.000,2003-04-15,*,*,*,*,192,P,2002-10-01,nil,*,Mg,2002-10-01,2002-10-04,2003-08-05,Hereward,0.006,3.970,1.420,2.010,0.730,67.827,8.811,*
2004,11,N4PMg,nil,*,N4,192.000,2004-05-07,*,*,*,*,192,P,2003-09-23,nil,*,Mg,2003-09-23,2003-09-30,2004-09-02,Hereward,0.006,4.860,1.880,1.950,0.650,80.555,10.387,*
2005,11,N4PMg,nil,*,N4,192.000,2005-04-14,*,*,*,*,192,P,2004-10-13,nil,*,Mg,2004-10-13,2004-11-05,2005-08-10,Hereward,0.006,4.050,1.070,1.970,0.760,67.817,6.912,*
2006,11,N4PMg,nil,*,N4,192.000,2006-04-20,*,*,*,*,192,P,2005-09-28,nil,*,Mg,2005-09-28,2005-10-11,2006-08-23,Hereward,0.006,5.540,2.140,2.150,0.820,101.243,14.916,*
2007,11,N4PMg,nil,*,N4,192.000,2007-04-24,*,*,*,*,192,P,2006-10-09,nil,*,Mg,2006-10-09,2006-11-01,2007-08-26,Hereward,0.006,2.540,0.560,2.240,0.920,48.362,4.379,*
2008,11,N4PMg,nil,*,N4,192.000,2008-04-17,*,*,*,*,192,P,2007-10-01,nil,*,Mg,2007-10-01,2007-10-15,2008-08-26,Hereward,0.006,3.390,1.140,1.970,0.874,56.766,8.469,*
2009,11,N4PMg,nil,*,N4,192.000,2009-04-21,*,*,*,*,192,P,2008-09-29,nil,*,Mg,2008-09-29,2008-10-17,2009-08-14,Hereward,0.006,4.590,1.880,2.124,0.554,82.868,8.853,*
2010,11,N4PMg,nil,*,N4,192.000,2010-04-20,*,*,*,*,192,P,2009-09-14,nil,*,Mg,2009-09-14,2009-10-13,2010-08-31,Hereward,0.006,4.980,1.940,2.162,0.517,91.517,8.525,*
2011,11,N4PMg,nil,*,N4,192.000,2011-04-13,*,*,*,*,192,P,2010-10-07,nil,*,Mg,2010-10-07,2010-10-19,2011-08-15,Hereward,0.006,4.330,1.540,2.357,0.732,86.749,9.582,*
2012,11,N4PMg,nil,*,N4,192.000,2012-04-17,*,*,*,*,192,P,2011-09-27,nil,*,Mg,2011-09-27,2011-10-11,2012-08-20,Hereward,0.006,3.290,1.280,2.219,0.949,62.054,10.325,*
2013,11,N4PMg,nil,*,N4,192.000,2013-04-24,*,*,*,*,192,P,2012-09-28,nil,*,Mg,2012-09-28,2013-02-22,2013-08-29,Crusoe,0.006,4.350,1.390,2.039,0.703,75.392,8.306,*
2014,11,N4PMg,nil,*,N4,192.000,2014-04-03,*,*,*,*,192,P,2013-09-30,nil,*,Mg,2013-09-30,2013-10-18,2014-08-20,Crusoe,0.006,6.080,3.590,2.231,0.620,115.298,18.919,*
2015,11,N4PMg,nil,*,N4,192.000,2015-04-17,*,*,*,*,192,P,2014-10-02,nil,*,Mg,2014-10-02,2015-03-09,2015-09-26,Mulika,0.006,4.900,1.820,2.273,0.612,94.670,9.468,3
2001,12,N1+3+1(P)K2Mg2,nil,*,N1+N3+N1,48.000,2001-03-26,144.000,2001-05-04,48.000,2001-05-31,240,(P),*,K2,2000-10-04,Mg2,2000-10-04,2001-01-16,2001-08-23,Hereward,0.007,5.240,3.320,2.327,0.607,103.645,17.130,"1,2"
2002,12,N1+3+1(P)K2Mg2,nil,*,N1+N3+N1,48.000,2002-03-26,144.000,2002-04-24,48.000,2002-05-23,240,(P),*,K2,2001-09-12,Mg2,2001-09-12,2001-09-28,2002-08-14,Hereward,0.006,5.050,2.540,2.180,0.670,93.576,14.465,*
2003,12,N1+3+1(P)K2Mg2,nil,*,N1+N3+N1,48.000,2003-03-12,144.000,2003-04-15,48.000,2003-05-07,240,(P),*,K2,2002-10-01,Mg2,2002-10-01,2002-10-04,2003-08-05,Hereward,0.006,7.150,3.320,2.450,0.550,148.899,15.521,*
2004,12,N1+3+1(P)K2Mg2,nil,*,N1+N3+N1,48.000,2004-03-17,144.000,2004-05-07,48.000,2004-05-25,240,(P),*,K2,2003-09-23,Mg2,2003-09-23,2003-09-30,2004-09-02,Hereward,0.006,5.780,3.280,2.510,0.600,123.316,16.728,*
2005,12,N1+3+1(P)K2Mg2,nil,*,N1+N3+N1,48.000,2005-03-07,144.000,2005-04-14,48.000,2005-05-10,240,(P),*,K2,2004-10-13,Mg2,2004-10-13,2004-11-05,2005-08-10,Hereward,0.006,7.000,2.950,2.130,0.560,126.735,14.042,*
2006,12,N1+3+1(P)KMg,nil,*,N1+N3+N1,48.000,2006-03-13,144.000,2006-04-20,48.000,2006-05-17,240,(P),*,K,2005-09-28,Mg,2005-09-28,2005-10-11,2006-08-23,Hereward,0.006,8.220,4.490,2.300,0.490,160.701,18.701,*
2007,12,N1+3+1(P)KMg,nil,*,N1+N3+N1,48.000,2007-03-14,144.000,2007-04-24,48.000,2007-05-22,240,(P),*,K,2006-10-09,Mg,2006-10-09,2006-11-01,2007-08-26,Hereward,0.006,4.820,1.380,2.380,0.810,97.509,9.501,*
2008,12,N1+3+1(P)KMg,nil,*,N1+N3+N1,48.000,2008-03-18,144.000,2008-04-17,48.000,2008-05-15,240,(P),*,K,2007-10-01,Mg,2007-10-01,2007-10-15,2008-08-26,Hereward,0.006,8.410,4.080,2.200,0.567,157.267,19.664,*
2009,12,N1+3+1(P)KMg,nil,*,N1+N3+N1,48.000,2009-03-09,144.000,2009-04-21,48.000,2009-05-13,240,(P),*,K,2008-09-29,Mg,2008-09-29,2008-10-17,2009-08-14,Hereward,0.006,4.980,2.660,2.712,0.701,114.799,15.850,*
2010,12,N1+3+1(P)KMg,nil,*,N1+N3+N1,48.000,2010-03-19,144.000,2010-04-20,48.000,2010-05-17,240,(P),*,K,2009-09-14,Mg,2009-09-14,2009-10-13,2010-08-31,Hereward,0.006,7.120,3.610,2.431,0.499,147.124,15.312,*
2011,12,N1+3+1(P)KMg,nil,*,N1+N3+N1,48.000,2011-03-15,144.000,2011-04-13,48.000,2011-05-12,240,(P),*,K,2010-10-07,Mg,2010-10-07,2010-10-19,2011-08-15,Hereward,0.006,5.440,2.170,2.917,0.753,134.882,13.889,*
2012,12,N1+3+1(P)KMg,nil,*,N1+N3+N1,48.000,2012-03-15,144.000,2012-04-17,48.000,2012-05-22,240,(P),*,K,2011-09-27,Mg,2011-09-27,2011-10-11,2012-08-20,Hereward,0.006,6.490,4.020,2.336,1.145,128.865,39.125,*
2013,12,N1+3+1(P)KMg,nil,*,N1+N3+N1,48.000,2013-03-12,144.000,2013-04-24,48.000,2013-05-21,240,(P),*,K,2012-09-28,Mg,2012-09-28,2013-02-22,2013-08-29,Crusoe,0.006,5.870,2.060,2.340,0.616,116.754,10.786,*
2014,12,N1+3+1(P)KMg,nil,*,N1+N3+N1,48.000,2014-03-10,144.000,2014-04-03,48.000,2014-05-20,240,(P),*,K,2013-09-30,Mg,2013-09-30,2013-10-18,2014-08-20,Crusoe,0.006,8.350,5.260,2.167,0.488,153.803,21.818,*
2015,12,N1+3+1(P)KMg,nil,*,N1+N3+N1,48.000,2015-04-09,144.000,2015-04-17,48.000,2015-05-08,240,(P),*,K,2014-10-02,Mg,2014-10-02,2015-03-09,2015-09-26,Mulika,0.006,6.590,3.400,2.514,0.602,140.822,17.398,3
2001,13,N4PK,nil,*,N4,192.000,2001-05-04,*,*,*,*,192,P,2000-10-04,K,2000-10-04,nil,*,2001-01-16,2001-08-23,Hereward,0.007,4.270,2.860,2.382,0.643,86.455,15.631,*
2002,13,N4PK,nil,*,N4,192.000,2002-04-24,*,*,*,*,192,P,2001-09-12,K,2001-09-12,nil,*,2001-09-28,2002-08-14,Hereward,0.006,5.310,2.630,1.900,0.500,85.756,11.178,*
2003,13,N4PK,nil,*,N4,192.000,2003-04-15,*,*,*,*,192,P,2002-10-01,K,2002-10-01,nil,*,2002-10-04,2003-08-05,Hereward,0.006,6.570,2.970,2.420,0.560,135.145,14.137,*
2004,13,N4PK,nil,*,N4,192.000,2004-05-07,*,*,*,*,192,P,2003-09-23,K,2003-09-23,nil,*,2003-09-30,2004-09-02,Hereward,0.006,5.170,1.930,2.630,0.590,115.575,9.679,*
2005,13,N4PK,nil,*,N4,192.000,2005-04-14,*,*,*,*,192,P,2004-10-13,K,2004-10-13,nil,*,2004-11-05,2005-08-10,Hereward,0.006,6.230,1.990,2.010,0.490,106.440,8.288,*
2006,13,N4PK,nil,*,N4,192.000,2006-04-20,*,*,*,*,192,P,2005-09-28,K,2005-09-28,nil,*,2005-10-11,2006-08-23,Hereward,0.006,7.030,3.570,2.160,0.440,129.071,13.352,*
2007,13,N4PK,nil,*,N4,192.000,2007-04-24,*,*,*,*,192,P,2006-10-09,K,2006-10-09,nil,*,2006-11-01,2007-08-26,Hereward,0.006,4.290,1.230,2.120,0.740,77.306,7.737,*
2008,13,N4PK,nil,*,N4,192.000,2008-04-17,*,*,*,*,192,P,2007-10-01,K,2007-10-01,nil,*,2007-10-15,2008-08-26,Hereward,0.006,7.620,3.550,2.136,0.576,138.349,17.381,*
2009,13,N4PK,nil,*,N4,192.000,2009-04-21,*,*,*,*,192,P,2008-09-29,K,2008-09-29,nil,*,2008-10-17,2009-08-14,Hereward,0.006,3.810,1.660,2.965,0.651,96.022,9.186,*
2010,13,N4PK,nil,*,N4,192.000,2010-04-20,*,*,*,*,192,P,2009-09-14,K,2009-09-14,nil,*,2009-10-13,2010-08-31,Hereward,0.006,6.230,2.750,2.531,0.442,134.029,10.332,*
2011,13,N4PK,nil,*,N4,192.000,2011-04-13,*,*,*,*,192,P,2010-10-07,K,2010-10-07,nil,*,2010-10-19,2011-08-15,Hereward,0.006,4.620,1.800,2.898,0.900,113.804,13.770,*
2012,13,N4PK,nil,*,N4,192.000,2012-04-17,*,*,*,*,192,P,2011-09-27,K,2011-09-27,nil,*,2011-10-11,2012-08-20,Hereward,0.006,6.120,3.030,1.995,0.629,103.780,16.200,*
2013,13,N4PK,nil,*,N4,192.000,2013-04-24,*,*,*,*,192,P,2012-09-28,K,2012-09-28,nil,*,2013-02-22,2013-08-29,Crusoe,0.006,5.840,1.850,2.224,0.628,110.399,9.875,*
2014,13,N4PK,nil,*,N4,192.000,2014-04-03,*,*,*,*,192,P,2013-09-30,K,2013-09-30,nil,*,2013-10-18,2014-08-20,Crusoe,0.006,7.630,4.050,1.975,0.449,128.089,15.457,*
2015,13,N4PK,nil,*,N4,192.000,2015-04-17,*,*,*,*,192,P,2014-10-02,K,2014-10-02,nil,*,2015-03-09,2015-09-26,Mulika,0.006,5.410,3.360,2.405,0.636,110.594,18.164,3
2001,14,N4PK*(Mg*),nil,*,N4,192.000,2001-05-04,*,*,*,*,192,P,2000-10-04,K*,2000-10-04,(Mg*),*,2001-01-16,2001-08-23,Hereward,0.007,4.950,2.840,2.279,0.545,95.889,13.156,*
2002,14,N4PK*(Mg*),nil,*,N4,192.000,2002-04-24,*,*,*,*,192,P,2001-09-12,K*,2001-09-12,(Mg*),*,2001-09-28,2002-08-14,Hereward,0.006,5.440,2.370,1.950,0.540,90.168,10.878,*
2003,14,N4PK*(Mg*),nil,*,N4,192.000,2003-04-15,*,*,*,*,192,P,2002-10-01,K*,2002-10-01,(Mg*),*,2002-10-04,2003-08-05,Hereward,0.006,7.000,2.880,2.370,0.460,141.015,11.261,*
2004,14,N4PK*(Mg*),nil,*,N4,192.000,2004-05-07,*,*,*,*,192,P,2003-09-23,K*,2003-09-23,(Mg*),*,2003-09-30,2004-09-02,Hereward,0.006,5.170,2.010,2.520,0.550,110.741,9.397,*
2005,14,N4PK*(Mg*),nil,*,N4,192.000,2005-04-14,*,*,*,*,192,P,2004-10-13,K*,2004-10-13,(Mg*),*,2004-11-05,2005-08-10,Hereward,0.006,7.040,2.850,2.070,0.460,123.869,11.143,*
2006,14,N4PK*(Mg*),nil,*,N4,192.000,2006-04-20,*,*,*,*,192,P,2005-09-28,K*,2005-09-28,(Mg*),*,2005-10-11,2006-08-23,Hereward,0.006,7.520,3.340,2.210,0.430,141.263,12.208,*
2007,14,N4PK*(Mg*),nil,*,N4,192.000,2007-04-24,*,*,*,*,192,P,2006-10-09,K*,2006-10-09,(Mg*),*,2006-11-01,2007-08-26,Hereward,0.006,4.310,0.920,2.220,0.750,81.330,5.865,*
2008,14,N4PK*(Mg*),nil,*,N4,192.000,2008-04-17,*,*,*,*,192,P,2007-10-01,K*,2007-10-01,(Mg*),*,2007-10-15,2008-08-26,Hereward,0.006,7.740,3.160,2.110,0.505,138.817,13.564,*
2009,14,N4PK*(Mg*),nil,*,N4,192.000,2009-04-21,*,*,*,*,192,P,2008-09-29,K*,2008-09-29,(Mg*),*,2008-10-17,2009-08-14,Hereward,0.006,3.660,1.760,2.622,0.730,81.570,10.921,*
2010,14,N4PK*(Mg*),nil,*,N4,192.000,2010-04-20,*,*,*,*,192,P,2009-09-14,K*,2009-09-14,(Mg*),*,2009-10-13,2010-08-31,Hereward,0.006,6.600,3.060,2.271,0.439,127.403,11.418,*
2011,14,N4PK*(Mg*),nil,*,N4,192.000,2011-04-13,*,*,*,*,192,P,2010-10-07,K*,2010-10-07,(Mg*),*,2010-10-19,2011-08-15,Hereward,0.006,5.330,2.040,2.769,0.713,125.450,12.363,*
2012,14,N4PK*(Mg*),nil,*,N4,192.000,2012-04-17,*,*,*,*,192,P,2011-09-27,K*,2011-09-27,(Mg*),*,2011-10-11,2012-08-20,Hereward,0.006,6.150,3.180,2.042,0.720,106.746,19.462,*
2013,14,N4PK*(Mg*),nil,*,N4,192.000,2013-04-24,*,*,*,*,192,P,2012-09-28,K*,2012-09-28,(Mg*),*,2013-02-22,2013-08-29,Crusoe,0.006,6.560,2.150,2.133,0.398,118.936,7.273,*
2014,14,N4PK*(Mg*),nil,*,N4,192.000,2014-04-03,*,*,*,*,192,P,2013-09-30,K*,2013-09-30,(Mg*),*,2013-10-18,2014-08-20,Crusoe,0.006,5.480,3.200,2.105,0.659,98.051,17.925,*
2015,14,N4PK*(Mg*),nil,*,N4,192.000,2015-04-17,*,*,*,*,192,P,2014-10-02,K*,2014-10-02,(Mg*),*,2015-03-09,2015-09-26,Mulika,0.006,7.010,2.910,2.348,0.540,139.906,13.357,3
2001,15,N5(P)KMg,nil,*,N5,240.000,2001-05-04,*,*,*,*,240,(P),*,K,2000-10-04,Mg,2000-10-04,2001-01-16,2001-08-23,Hereward,0.007,4.950,2.800,2.507,0.741,105.482,17.636,*
2002,15,N5(P)KMg,nil,*,N5,240.000,2002-04-24,*,*,*,*,240,(P),*,K,2001-09-12,Mg,2001-09-12,2001-09-28,2002-08-14,Hereward,0.006,4.020,2.050,2.360,0.680,80.641,11.849,*
2003,15,N5(P)KMg,nil,*,N5,240.000,2003-04-15,*,*,*,*,240,(P),*,K,2002-10-01,Mg,2002-10-01,2002-10-04,2003-08-05,Hereward,0.006,7.720,3.330,2.540,0.580,166.675,16.417,*
