crop_name,latin_name,crop_name_rdftype
spring beans,vicia faba,https://aims.fao.org/aos/agrovoc/c_8220
spring barley,hordeum vulgare,https://aims.fao.org/aos/agrovoc/c_823
potatoes,solanum tuberosum,https://aims.fao.org/aos/agrovoc/c_13551
fallow,fallow,https://aims.fao.org/aos/agrovoc/c_34007
spring oats,avena sativa,https://aims.fao.org/aos/agrovoc/c_5287
spring oilseed rape,brassica napus,https://aims.fao.org/aos/agrovoc/c_25499
winter triticale,Ã— triticosecale,https://aims.fao.org/aos/agrovoc/c_33914
spring lupins,lupinus albus,https://aims.fao.org/aos/agrovoc/c_4464
spring linseed,linum usitatissimum,https://aims.fao.org/aos/agrovoc/c_4355
winter oilseed rape,brassica napus,https://aims.fao.org/aos/agrovoc/c_25499
winter lupins,lupinus albus,https://aims.fao.org/aos/agrovoc/c_4464
winter wheat,triticum aestivum,https://aims.fao.org/aos/agrovoc/c_8412
