harvest_year,plot,sub_plot,block,treatment,cultivation_direction,tillage,crop_type,cultivar,sowing_date,harvest_date,grain_yield,straw_yield,tuber_yield,ware_%,clean_beet,sugar_%,total_sugar,ACB,KM,NAM,AN,ANS,fodder_beet_fresh_wt,fodder_beet_dry_wt,fodder_beet_%DM,note_id
1988,1,*,1,T1,U,M,	spring barley,Klaxon,1998-03-30,1998-08-17,5.250,2.560,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1988,2,*,1,T4,A,S,	spring barley,Klaxon,1998-03-30,1998-08-17,5.610,2.680,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1988,3,*,1,T3,A,M,	spring barley,Klaxon,1998-03-30,1998-08-17,5.380,2.660,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1988,4,*,1,T2,U,S,	spring barley,Klaxon,1998-03-30,1998-08-17,4.620,0.970,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1988,5,*,2,T4,A,S,	spring barley,Klaxon,1998-03-30,1998-08-17,5.440,1.980,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1988,6,*,2,T1,U,M,	spring barley,Klaxon,1998-03-30,1998-08-17,5.100,1.070,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1988,7,*,2,T2,U,S,	spring barley,Klaxon,1998-03-30,1998-08-17,4.620,1.310,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1988,8,*,2,T3,A,M,	spring barley,Klaxon,1998-03-30,1998-08-17,5.110,0.760,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1989,1,*,1,T1,U,M,	potatoes,Estima,1989-05-10,1989-10-10,*,*,33.700,88.800,*,*,*,*,*,*,*,*,*,*,*,4
1989,2,*,1,T4,A,S,	potatoes,Estima,1989-05-10,1989-10-10,*,*,34.200,85.700,*,*,*,*,*,*,*,*,*,*,*,4
1989,3,*,1,T3,A,M,	potatoes,Estima,1989-05-10,1989-10-10,*,*,31.500,82.500,*,*,*,*,*,*,*,*,*,*,*,4
1989,4,*,1,T2,U,S,	potatoes,Estima,1989-05-10,1989-10-10,*,*,29.800,84.300,*,*,*,*,*,*,*,*,*,*,*,4
1989,5,*,2,T4,A,S,	potatoes,Estima,1989-05-10,1989-10-10,*,*,40.300,90.700,*,*,*,*,*,*,*,*,*,*,*,4
1989,6,*,2,T1,U,M,	potatoes,Estima,1989-05-10,1989-10-10,*,*,24.900,78.700,*,*,*,*,*,*,*,*,*,*,*,4
1989,7,*,2,T2,U,S,	potatoes,Estima,1989-05-10,1989-10-10,*,*,25.200,75.800,*,*,*,*,*,*,*,*,*,*,*,4
1989,8,*,2,T3,A,M,	potatoes,Estima,1989-05-10,1989-10-10,*,*,35.500,88.300,*,*,*,*,*,*,*,*,*,*,*,4
1990,1,*,1,T1,U,M,	winter wheat,Mercia,1989-10-31,1990-08-17,6.410,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1990,2,*,1,T4,A,S,	winter wheat,Mercia,1989-10-31,1990-08-17,5.640,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1990,3,*,1,T3,A,M,	winter wheat,Mercia,1989-10-31,1990-08-17,5.870,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1990,4,*,1,T2,U,S,	winter wheat,Mercia,1989-10-31,1990-08-17,5.450,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1990,5,*,2,T4,A,S,	winter wheat,Mercia,1989-10-31,1990-08-17,4.340,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1990,6,*,2,T1,U,M,	winter wheat,Mercia,1989-10-31,1990-08-17,2.440,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1990,7,*,2,T2,U,S,	winter wheat,Mercia,1989-10-31,1990-08-17,3.980,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1990,8,*,2,T3,A,M,	winter wheat,Mercia,1989-10-31,1990-08-17,4.300,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1991,1,*,1,T1,U,M,	winter barley,Magie,1990-09-22,1991-08-06,6.440,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1991,2,*,1,T4,A,S,	winter barley,Magie,1990-09-22,1991-08-06,9.190,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1991,3,*,1,T3,A,M,	winter barley,Magie,1990-09-22,1991-08-06,6.680,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1991,4,*,1,T2,U,S,	winter barley,Magie,1990-09-22,1991-08-06,8.370,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1991,5,*,2,T4,A,S,	winter barley,Magie,1990-09-22,1991-08-06,7.580,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1991,6,*,2,T1,U,M,	winter barley,Magie,1990-09-22,1991-08-06,5.270,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1991,7,*,2,T2,U,S,	winter barley,Magie,1990-09-22,1991-08-06,8.030,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1991,8,*,2,T3,A,M,	winter barley,Magie,1990-09-22,1991-08-06,6.540,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1992,1,*,1,T1,U,M,	sugar beet,Cect,1992-04-09,1992-11-16,*,*,*,*,62.800,17.540,11.020,71.600,5.100,0.160,0.970,77.000,*,*,*,3
1992,2,*,1,T4,A,S,	sugar beet,Cect,1992-04-09,1992-11-16,*,*,*,*,67.500,16.990,11.480,73.600,5.300,0.190,1.220,100.000,*,*,*,3
1992,3,*,1,T3,A,M,	sugar beet,Cect,1992-04-09,1992-11-16,*,*,*,*,70.200,17.360,12.180,78.700,5.100,0.200,1.040,84.000,*,*,*,3
1992,4,*,1,T2,U,S,	sugar beet,Cect,1992-04-09,1992-11-16,*,*,*,*,62.600,17.180,10.750,69.200,4.800,0.270,1.110,90.000,*,*,*,3
1992,5,*,2,T4,A,S,	sugar beet,Cect,1992-04-09,1992-11-16,*,*,*,*,69.300,17.940,12.440,81.500,5.400,0.190,1.000,79.000,*,*,*,3
1992,6,*,2,T1,U,M,	sugar beet,Cect,1992-04-09,1992-11-16,*,*,*,*,57.300,17.260,9.890,63.800,5.500,0.130,1.140,93.000,*,*,*,3
1992,7,*,2,T2,U,S,	sugar beet,Cect,1992-04-09,1992-11-16,*,*,*,*,61.300,17.530,10.750,69.700,5.000,0.130,1.110,89.000,*,*,*,3
1992,8,*,2,T3,A,M,	sugar beet,Cect,1992-04-09,1992-11-16,*,*,*,*,54.300,17.480,9.500,61.600,4.800,0.180,1.290,101.000,*,*,*,3
1993,1,*,1,T1,U,M,	winter wheat,Soisson,1993-01-26,1993-08-19,6.630,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1993,2,*,1,T4,A,S,	winter wheat,Soisson,1993-01-26,1993-08-19,6.570,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1993,3,*,1,T3,A,M,	winter wheat,Soisson,1993-01-26,1993-08-19,6.690,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1993,4,*,1,T2,U,S,	winter wheat,Soisson,1993-01-26,1993-08-19,6.570,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1993,5,*,2,T4,A,S,	winter wheat,Soisson,1993-01-26,1993-08-19,6.210,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1993,6,*,2,T1,U,M,	winter wheat,Soisson,1993-01-26,1993-08-19,5.560,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1993,7,*,2,T2,U,S,	winter wheat,Soisson,1993-01-26,1993-08-19,5.980,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1993,8,*,2,T3,A,M,	winter wheat,Soisson,1993-01-26,1993-08-19,5.540,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1994,1,*,1,T1,U,M,	winter barley,Puffin,1993-10-15,1994-07-26,3.390,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1994,2,*,1,T4,A,S,	winter barley,Puffin,1993-10-15,1994-07-26,3.590,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1994,3,*,1,T3,A,M,	winter barley,Puffin,1993-10-15,1994-07-26,2.910,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1994,4,*,1,T2,U,S,	winter barley,Puffin,1993-10-15,1994-07-26,2.460,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1994,5,*,2,T4,A,S,	winter barley,Puffin,1993-10-15,1994-07-26,3.300,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1994,6,*,2,T1,U,M,	winter barley,Puffin,1993-10-15,1994-07-26,1.470,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1994,7,*,2,T2,U,S,	winter barley,Puffin,1993-10-15,1994-07-26,4.440,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1994,8,*,2,T3,A,M,	winter barley,Puffin,1993-10-15,1994-07-26,0.470,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1995,1,*,1,T1,U,M,	potatoes,Estima,1995-04-12,1995-09-19,*,*,15.500,51.600,*,*,*,*,*,*,*,*,*,*,*,4
1995,2,*,1,T4,A,S,	potatoes,Estima,1995-04-12,1995-09-19,*,*,14.200,37.500,*,*,*,*,*,*,*,*,*,*,*,4
1995,3,*,1,T3,A,M,	potatoes,Estima,1995-04-12,1995-09-19,*,*,13.600,36.700,*,*,*,*,*,*,*,*,*,*,*,4
1995,4,*,1,T2,U,S,	potatoes,Estima,1995-04-12,1995-09-19,*,*,12.700,43.000,*,*,*,*,*,*,*,*,*,*,*,4
1995,5,*,2,T4,A,S,	potatoes,Estima,1995-04-12,1995-09-19,*,*,13.800,40.800,*,*,*,*,*,*,*,*,*,*,*,4
1995,6,*,2,T1,U,M,	potatoes,Estima,1995-04-12,1995-09-19,*,*,15.400,51.200,*,*,*,*,*,*,*,*,*,*,*,4
1995,7,*,2,T2,U,S,	potatoes,Estima,1995-04-12,1995-09-19,*,*,14.400,36.700,*,*,*,*,*,*,*,*,*,*,*,4
1995,8,*,2,T3,A,M,	potatoes,Estima,1995-04-12,1995-09-19,*,*,20.300,64.900,*,*,*,*,*,*,*,*,*,*,*,4
1996,1,*,1,T1,U,M,	winter wheat,Hereward,1995-10-09,1996-08-16,5.070,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1996,2,*,1,T4,A,S,	winter wheat,Hereward,1995-10-09,1996-08-16,5.480,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1996,3,*,1,T3,A,M,	winter wheat,Hereward,1995-10-09,1996-08-16,5.730,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1996,4,*,1,T2,U,S,	winter wheat,Hereward,1995-10-09,1996-08-16,4.540,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1996,5,*,2,T4,A,S,	winter wheat,Hereward,1995-10-09,1996-08-16,3.920,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1996,6,*,2,T1,U,M,	winter wheat,Hereward,1995-10-09,1996-08-16,2.180,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1996,7,*,2,T2,U,S,	winter wheat,Hereward,1995-10-09,1996-08-16,2.130,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1996,8,*,2,T3,A,M,	winter wheat,Hereward,1995-10-09,1996-08-16,3.460,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1997,1,*,1,T1,U,M,	winter barley,Gleam,1996-10-02,1997-08-19,0.670,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1997,2,*,1,T4,A,S,	winter barley,Gleam,1996-10-02,1997-08-19,2.570,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1997,3,*,1,T3,A,M,	winter barley,Gleam,1996-10-02,1997-08-19,2.780,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1997,4,*,1,T2,U,S,	winter barley,Gleam,1996-10-02,1997-08-19,1.470,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1997,5,*,2,T4,A,S,	winter barley,Gleam,1996-10-02,1997-08-19,0.990,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1997,6,*,2,T1,U,M,	winter barley,Gleam,1996-10-02,1997-08-19,0.190,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1997,7,*,2,T2,U,S,	winter barley,Gleam,1996-10-02,1997-08-19,0.160,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1997,8,*,2,T3,A,M,	winter barley,Gleam,1996-10-02,1997-08-19,1.170,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1998,1,1,1,T1,U,M,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,34.900,6.090,17.450,"1,2"
1998,1,2,1,T1,U,M,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,44.000,8.230,18.705,"1,2"
1998,2,1,1,T4,A,S,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,87.600,14.590,16.655,"1,2"
1998,2,2,1,T4,A,S,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,70.000,13.910,19.871,"1,2"
1998,3,1,1,T3,A,M,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,87.100,15.220,17.474,"1,2"
1998,3,2,1,T3,A,M,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,72.900,13.420,18.409,"1,2"
1998,4,1,1,T2,U,S,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,74.700,14.580,19.518,"1,2"
1998,4,2,1,T2,U,S,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,56.900,11.290,19.842,"1,2"
1998,5,1,2,T4,A,S,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,60.700,11.500,18.946,"1,2"
1998,5,2,2,T4,A,S,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,72.700,13.440,18.487,"1,2"
1998,6,1,2,T1,U,M,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,61.100,12.050,19.722,"1,2"
1998,6,2,2,T1,U,M,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,66.000,12.150,18.409,"1,2"
1998,7,1,2,T2,U,S,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,74.400,14.280,19.194,"1,2"
1998,7,2,2,T2,U,S,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,60.700,9.980,16.442,"1,2"
1998,8,1,2,T3,A,M,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,61.800,11.370,18.398,"1,2"
1998,8,2,2,T3,A,M,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,75.100,15.020,20.000,"1,2"
