harvest_year,crop,previous_crop,plot,sub_plot,sub_sub_plot,old_plot_notation,fertilizer_code,fertilizer_n_amount,fertilizer_n_date,sow_date,harvest_date,cultivar,plot_area,grain_yield,straw_yield,note_id
1943,spring barley,spring barley,1,*,*,1,N1,39.235,1943-06-07 00:00:00,1943-03-12,1943-08-27,Plumage Archer,0.100,0.097,0.348,*
1944,spring barley,spring barley,1,*,*,1,N3,117.705,1943-06-07 00:00:00,1943-03-12,1943-08-27,Plumage Archer,0.100,1.015,1.979,*
1945,spring barley,spring barley,1,*,*,1,N2,78.470,1945-04-03 00:00:00,1945-03-06,1945-08-02,Plumage Archer,0.100,0.604,2.061,*
1946,spring barley,spring barley,1,*,*,1,N1,39.235,*,1946-03-13,1946-08-15,Plumage Archer,0.100,0.234,1.258,*
1947,fallow,spring barley,1,*,*,1,*,0.000,*,*,*,*,*,*,*,*
1948,fallow,spring barley,1,*,*,1,*,0.000,*,*,*,*,*,*,*,*
1949,fallow,spring barley,1,*,*,1,*,0.000,*,*,*,*,*,*,*,*
1950,spring barley,spring barley,1,*,*,1,N3,117.705,*,*,*,*,0.100,*,*,1
1951,spring barley,spring barley,1,*,*,1,N2,78.470,1951-04-23 00:00:00,1951-04-23,1951-09-24,Plumage Archer,0.100,0.075,*,2
1952,winter barley,spring barley,1,*,*,1,N1,39.235,03/17/1952,1951-12-03,1952-07-29,Pioneer,0.050,2.748,2.761,3
1952,spring barley,spring barley,1,*,*,1,N1,39.235,03/17/1952,1952-03-17,1952-07-29,Plumage Archer,0.050,1.631,2.497,3
1953,winter barley,winter barley,1,*,*,1,N3,117.705,1953-03-13 00:00:00,1952-10-09,1953-08-17,Pioneer,0.050,1.042,1.481,3
1953,spring barley,spring barley,1,*,*,1,N3,117.705,1953-03-13 00:00:00,1953-03-05,1953-08-17,Plumage Archer,0.050,2.083,1.757,3
1954,spring barley,spring barley,1,*,*,1,N2,78.470,1954-04-28 00:00:00,1953-10-25,1954-09-08,Plumage Archer,0.100,*,*,2
1955,spring barley,spring barley,1,*,*,1,N1,39.235,1952-04-12 00:00:00,1955-04-07,1952-08-24,Plumage Archer,0.100,0.703,0.891,6
1956,fallow,spring barley,1,*,*,1,*,0.000,*,*,*,*,*,*,*,14
1957,fallow,spring barley,1,*,*,1,*,0.000,*,*,*,*,*,*,*,15
1958,spring barley,spring barley,1,*,*,1,*,0.000,*,1958-03-21,*,*,0.100,*,*,7
1959,spring barley,spring barley,1,*,*,1,basalN,114.342,1959-03-25 00:00:00,1959-03-16,1959-08-19,Plumage Archer,0.050,2.410,1.431,8
1959,winter wheat,spring barley,1,*,*,1,basalN,114.342,1959-03-25 00:00:00,1958-12-05,1959-08-20,Squarehead's Master,0.051,2.912,3.991,8
1960,spring barley,spring barley,1,*,*,1,basalN,114.342,1960-03-21 00:00:00,1960-03-21,1960-08-30,Plumage Archer,0.050,2.246,1.694,8
1960,winter wheat,winter wheat,1,*,*,1,basalN,114.342,1960-03-21 00:00:00,1959-10-22,1960-08-31,Squarehead's Master,0.051,3.125,3.677,8
1961,spring barley,spring barley,1,*,*,1,basalN,114.342,1961-03-09 00:00:00,1961-03-09,1961-08-28,Plumage Archer,0.050,1.117,0.640,10
1961,spring wheat,winter wheat,1,*,*,1,basalN,114.342,1961-03-22 00:00:00,1961-03-22,1961-08-28,Jufy I,0.051,1.104,1.544,10
1962,spring oats,spring barley,1,*,*,1,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-28,Condor,0.050,3.840,2.359,*
1962,spring oats,spring wheat,1,*,*,1,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-27,Condor,0.051,2.836,1.431,*
1963,fallow,spring oats,1,*,*,1,*,0.000,*,*,*,*,*,*,*,16
1964,spring beans,spring barley,1,*,*,1,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.051,2.736,*,11
1964,spring beans,spring wheat,1,*,*,1,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.050,2.585,*,11
1965,fallow,spring beans,1,*,*,1,*,0.000,*,*,*,*,*,*,*,*
1966,fallow,spring beans,1,*,*,1,*,0.000,*,*,*,*,*,*,*,*
1943,fallow,spring barley,2,*,*,2,*,0.000,*,*,*,*,*,*,*,*
1944,fallow,spring barley,2,*,*,2,*,0.000,*,*,*,*,*,*,*,*
1945,fallow,spring barley,2,*,*,2,*,0.000,*,*,*,*,*,*,*,*
1946,fallow,spring barley,2,*,*,2,*,0.000,*,*,*,*,*,*,*,*
1947,fallow,spring barley,2,*,*,2,*,0.000,*,*,*,*,*,*,*,*
1948,fallow,spring barley,2,*,*,2,*,0.000,*,*,*,*,*,*,*,*
1949,fallow,spring barley,2,*,*,2,*,0.000,*,*,*,*,*,*,*,*
1950,fallow,spring barley,2,*,*,2,*,0.000,*,*,*,*,*,*,*,*
1951,fallow,spring barley,2,*,*,2,*,0.000,*,*,*,*,*,*,*,*
1952,fallow,spring barley,2,*,*,2,*,0.000,*,*,*,*,*,*,*,*
1953,fallow,spring barley,2,*,*,2,*,0.000,*,*,*,*,*,*,*,*
1954,fallow,spring barley,2,*,*,2,*,0.000,*,*,*,*,*,*,*,*
1955,spring barley,spring barley,2,*,*,2,N3,117.705,1952-04-12 00:00:00,1955-04-07,1952-08-24,Plumage Archer,0.100,0.703,0.991,6
1956,fallow,spring barley,2,*,*,2,*,0.000,*,*,*,*,*,*,*,14
1957,fallow,spring barley,2,*,*,2,*,0.000,*,*,*,*,*,*,*,15
1958,spring barley,spring barley,2,*,*,2,*,0.000,*,1958-03-21,*,*,0.100,*,*,7
1959,spring barley,spring barley,2,*,*,2,basalN,114.342,1959-03-25 00:00:00,1959-03-16,1959-08-19,Plumage Archer,0.050,2.422,1.305,8
1959,winter wheat,spring barley,2,*,*,2,basalN,114.342,1959-03-25 00:00:00,1958-12-05,1959-08-20,Squarehead's Master,0.051,2.209,3.238,8
1960,spring barley,spring barley,2,*,*,2,basalN,114.342,1960-03-21 00:00:00,1960-03-21,1960-08-30,Plumage Archer,0.050,2.121,1.669,8
1960,winter wheat,winter wheat,2,*,*,2,basalN,114.342,1960-03-21 00:00:00,1959-10-22,1960-08-31,Squarehead's Master,0.051,3.037,3.250,8
1961,spring barley,spring barley,2,*,*,2,basalN,114.342,1961-03-09 00:00:00,1961-03-09,1961-08-28,Plumage Archer,0.050,1.544,0.565,10
1961,spring wheat,winter wheat,2,*,*,2,basalN,114.342,1961-03-22 00:00:00,1961-03-22,1961-08-28,Jufy I,0.051,1.079,0.991,10
1962,spring oats,spring barley,2,*,*,2,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-28,Condor,0.050,3.765,2.209,*
1962,spring oats,spring wheat,2,*,*,2,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-27,Condor,0.051,2.598,1.230,*
1963,fallow,spring oats,2,*,*,2,*,0.000,*,*,*,*,*,*,*,16
1964,spring beans,spring barley,2,*,*,2,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.051,2.686,*,11
1964,spring beans,spring wheat,2,*,*,2,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.050,2.134,*,11
1965,fallow,spring beans,2,*,*,2,*,0.000,*,*,*,*,*,*,*,*
1966,fallow,spring beans,2,*,*,2,*,0.000,*,*,*,*,*,*,*,*
1943,spring barley,spring barley,3,*,*,3,N2,78.470,1943-06-07 00:00:00,1943-03-12,1943-08-27,Plumage Archer,0.100,0.368,0.967,*
1944,spring barley,spring barley,3,*,*,3,N1,39.235,1944-03-28 00:00:00,1944-03-08,1944-09-04,Plumage Archer,0.100,0.593,1.162,*
1945,spring barley,spring barley,3,*,*,3,N3,117.705,1945-04-03 00:00:00,1945-03-06,1945-08-02,Plumage Archer,0.100,1.017,2.258,*
1946,spring barley,spring barley,3,*,*,3,N2,78.470,*,1946-03-13,1946-08-15,Plumage Archer,0.100,0.470,1.631,*
1947,fallow,spring barley,3,*,*,3,*,0.000,*,*,*,*,*,*,*,*
1948,fallow,spring barley,3,*,*,3,*,0.000,*,*,*,*,*,*,*,*
1949,fallow,spring barley,3,*,*,3,*,0.000,*,*,*,*,*,*,*,*
1950,spring barley,spring barley,3,*,*,3,N1,39.235,*,*,*,*,0.100,*,*,1
1951,spring barley,spring barley,3,*,*,3,N3,117.705,1951-04-23 00:00:00,1951-04-23,1951-09-24,Plumage Archer,0.100,0.414,*,2
1952,winter barley,spring barley,3,*,*,3,N2,78.470,03/17/1952,1951-12-03,1952-07-29,Pioneer,0.050,2.723,3.175,3
1952,spring barley,spring barley,3,*,*,3,N2,78.470,03/17/1952,1952-03-17,1952-07-29,Plumage Archer,0.050,1.556,2.058,3
1953,winter barley,winter barley,3,*,*,3,N1,39.235,1953-03-13 00:00:00,1952-10-09,1953-08-17,Pioneer,0.050,2.046,1.606,3
1953,spring barley,spring barley,3,*,*,3,N1,39.235,1953-03-13 00:00:00,1953-03-05,1953-08-17,Plumage Archer,0.050,1.054,0.954,3
1954,spring barley,spring barley,3,*,*,3,N3,117.705,1954-04-28 00:00:00,1953-10-25,1954-09-08,Plumage Archer,0.100,2.359,2.573,5
1955,spring barley,spring barley,3,*,*,3,N2,78.470,1952-04-12 00:00:00,1955-04-07,1952-08-24,Plumage Archer,0.100,1.004,1.343,6
1956,fallow,spring barley,3,*,*,3,*,0.000,*,*,*,*,*,*,*,14
1957,fallow,spring barley,3,*,*,3,*,0.000,*,*,*,*,*,*,*,15
1958,spring barley,spring barley,3,*,*,3,*,0.000,*,1958-03-21,*,*,0.100,*,*,7
1959,spring barley,spring barley,3,*,*,3,basalN,114.342,1959-03-25 00:00:00,1959-03-16,1959-08-19,Plumage Archer,0.050,2.422,1.268,8
1959,winter wheat,spring barley,3,*,*,3,basalN,114.342,1959-03-25 00:00:00,1958-12-05,1959-08-20,Squarehead's Master,0.051,3.665,4.857,8
1960,spring barley,spring barley,3,*,*,3,basalN,114.342,1960-03-21 00:00:00,1960-03-21,1960-08-30,Plumage Archer,0.050,2.008,1.556,8
1960,winter wheat,winter wheat,3,*,*,3,basalN,114.342,1960-03-21 00:00:00,1959-10-22,1960-08-31,Squarehead's Master,0.051,3.439,5.196,8
1961,spring barley,spring barley,3,*,*,3,basalN,114.342,1961-03-09 00:00:00,1961-03-09,1961-08-28,Plumage Archer,0.050,1.355,0.690,10
1961,spring wheat,winter wheat,3,*,*,3,basalN,114.342,1961-03-22 00:00:00,1961-03-22,1961-08-28,Jufy I,0.051,1.318,1.155,10
1962,spring oats,spring barley,3,*,*,3,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-28,Condor,0.050,2.886,1.368,*
1962,spring oats,spring wheat,3,*,*,3,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-27,Condor,0.051,3.464,1.983,*
1963,fallow,spring oats,3,*,*,3,*,0.000,*,*,*,*,*,*,*,16
1964,spring beans,spring barley,3,*,*,3,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.051,2.485,*,11
1964,spring beans,spring wheat,3,*,*,3,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.050,3.125,*,11
1965,fallow,spring beans,3,*,*,3,*,0.000,*,*,*,*,*,*,*,*
1966,fallow,spring beans,3,*,*,3,*,0.000,*,*,*,*,*,*,*,*
1943,spring barley,spring barley,4,*,*,4,N3,117.705,1943-06-07 00:00:00,1943-03-12,1943-08-27,Plumage Archer,0.100,0.582,1.178,*
1944,spring barley,spring barley,4,*,*,4,N2,78.470,1944-03-28 00:00:00,1944-03-08,1944-09-04,Plumage Archer,0.100,1.505,2.169,*
1945,spring barley,spring barley,4,*,*,4,N1,39.235,1945-04-03 00:00:00,1945-03-06,1945-08-02,Plumage Archer,0.100,0.757,2.300,*
1946,spring barley,spring barley,4,*,*,4,N3,117.705,*,1946-03-13,1946-08-15,Plumage Archer,0.100,0.966,2.178,*
1947,fallow,spring barley,4,*,*,4,*,0.000,*,*,*,*,*,*,*,*
1948,fallow,spring barley,4,*,*,4,*,0.000,*,*,*,*,*,*,*,*
1949,fallow,spring barley,4,*,*,4,*,0.000,*,*,*,*,*,*,*,*
1950,spring barley,spring barley,4,*,*,4,N2,78.470,*,*,*,*,0.100,*,*,1
1951,spring barley,spring barley,4,*,*,4,N1,39.235,1951-04-23 00:00:00,1951-04-23,1951-09-24,Plumage Archer,0.100,0.489,*,2
1952,winter barley,spring barley,4,*,*,4,N3,117.705,03/17/1952,1951-12-03,1952-07-29,Pioneer,0.050,2.548,2.937,3
1952,spring barley,spring barley,4,*,*,4,N3,117.705,03/17/1952,1952-03-17,1952-07-29,Plumage Archer,0.050,1.418,1.995,3
1953,winter barley,winter barley,4,*,*,4,N2,78.470,1953-03-13 00:00:00,1952-10-09,1953-08-17,Pioneer,0.050,2.209,2.723,3
1953,spring barley,spring barley,4,*,*,4,N2,78.470,1953-03-13 00:00:00,1953-03-05,1953-08-17,Plumage Archer,0.050,2.372,2.033,3
1954,spring barley,spring barley,4,*,*,4,N1,39.235,1954-04-28 00:00:00,1953-10-25,1954-09-08,Plumage Archer,0.100,0.715,0.891,*
1955,spring barley,spring barley,4,*,*,4,N3,117.705,1952-04-12 00:00:00,1955-04-07,1952-08-24,Plumage Archer,0.100,1.493,1.883,6
1956,fallow,spring barley,4,*,*,4,*,0.000,*,*,*,*,*,*,*,14
1957,fallow,spring barley,4,*,*,4,*,0.000,*,*,*,*,*,*,*,15
1958,spring barley,spring barley,4,*,*,4,*,0.000,*,1958-03-21,*,*,0.100,*,*,7
1959,spring barley,spring barley,4,*,*,4,basalN,114.342,1959-03-25 00:00:00,1959-03-16,1959-08-19,Plumage Archer,0.050,2.635,1.832,8
1959,winter wheat,spring barley,4,*,*,4,basalN,114.342,1959-03-25 00:00:00,1958-12-05,1959-08-20,Squarehead's Master,0.051,2.686,4.292,8
1960,spring barley,spring barley,4,*,*,4,basalN,114.342,1960-03-21 00:00:00,1960-03-21,1960-08-30,Plumage Archer,0.050,2.410,1.669,8
1960,winter wheat,winter wheat,4,*,*,4,basalN,114.342,1960-03-21 00:00:00,1959-10-22,1960-08-31,Squarehead's Master,0.051,2.748,2.886,8
1961,spring barley,spring barley,4,*,*,4,basalN,114.342,1961-03-09 00:00:00,1961-03-09,1961-08-28,Plumage Archer,0.050,1.970,0.891,10
1961,spring wheat,winter wheat,4,*,*,4,basalN,114.342,1961-03-22 00:00:00,1961-03-22,1961-08-28,Jufy I,0.051,1.343,1.381,10
1962,spring oats,spring barley,4,*,*,4,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-28,Condor,0.050,2.661,1.519,*
1962,spring oats,spring wheat,4,*,*,4,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-27,Condor,0.051,3.062,1.318,*
1963,fallow,spring oats,4,*,*,4,*,0.000,*,*,*,*,*,*,*,16
1964,spring beans,spring barley,4,*,*,4,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.051,2.008,*,11
1964,spring beans,spring wheat,4,*,*,4,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.050,2.309,*,11
1965,fallow,spring beans,4,*,*,4,*,0.000,*,*,*,*,*,*,*,*
1966,fallow,spring beans,4,*,*,4,*,0.000,*,*,*,*,*,*,*,*
1943,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1944,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1945,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1946,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1947,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1948,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1949,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1950,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1951,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1952,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1953,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1954,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1955,spring barley,spring barley,5,*,*,5,N1,39.235,1952-04-12 00:00:00,1955-04-07,1952-08-24,Plumage Archer,0.100,0.866,1.017,6
1956,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,14
1957,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,15
1958,spring barley,spring barley,5,*,*,5,*,0.000,*,1958-03-21,*,*,0.100,*,*,7
1959,spring barley,spring barley,5,*,*,5,basalN,114.342,1959-03-25 00:00:00,1959-03-16,1959-08-19,Plumage Archer,0.050,2.635,1.870,8
1959,winter wheat,spring barley,5,*,*,5,basalN,114.342,1959-03-25 00:00:00,1958-12-05,1959-08-20,Squarehead's Master,0.051,2.635,4.217,8
1960,spring barley,spring barley,5,*,*,5,basalN,114.342,1960-03-21 00:00:00,1960-03-21,1960-08-30,Plumage Archer,0.050,2.385,1.619,8
1960,winter wheat,winter wheat,5,*,*,5,basalN,114.342,1960-03-21 00:00:00,1959-10-22,1960-08-31,Squarehead's Master,0.051,3.012,3.351,8
1961,spring barley,spring barley,5,*,*,5,basalN,114.342,1961-03-09 00:00:00,1961-03-09,1961-08-28,Plumage Archer,0.050,1.920,0.879,10
1961,spring wheat,winter wheat,5,*,*,5,basalN,114.342,1961-03-22 00:00:00,1961-03-22,1961-08-28,Jufy I,0.051,1.920,1.431,10
1962,spring oats,spring barley,5,*,*,5,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-28,Condor,0.050,2.648,1.368,*
1962,spring oats,spring wheat,5,*,*,5,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-27,Condor,0.051,3.075,1.744,*
1963,fallow,spring oats,5,*,*,5,*,0.000,*,*,*,*,*,*,*,16
1964,spring beans,spring barley,5,*,*,5,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.051,1.719,*,11
1964,spring beans,spring wheat,5,*,*,5,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.050,1.908,*,11
1965,fallow,spring beans,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1966,fallow,spring beans,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1943,spring barley,spring barley,6,*,*,6,N1,39.235,1943-06-07 00:00:00,1943-03-12,1943-08-27,Plumage Archer,0.100,0.617,1.282,*
1944,spring barley,spring barley,6,*,*,6,N3,117.705,1944-03-28 00:00:00,1944-03-08,1944-09-04,Plumage Archer,0.100,0.920,1.720,*
